A,N,N_minus_Z,Q_2beta_minus_calculable,Q_2beta_minus_estimated,Q_2beta_minus_keV,Q_2beta_minus_unc_keV,Q_4beta_minus_calculable,Q_4beta_minus_estimated,Q_4beta_minus_keV,Q_4beta_minus_unc_keV,Q_alpha_calculable,Q_alpha_estimated,Q_alpha_keV,Q_alpha_unc_keV,Q_beta_minus_n_calculable,Q_beta_minus_n_estimated,Q_beta_minus_n_keV,Q_beta_minus_n_unc_keV,Q_d_alpha_calculable,Q_d_alpha_estimated,Q_d_alpha_keV,Q_d_alpha_unc_keV,Q_ep_calculable,Q_ep_estimated,Q_ep_keV,Q_ep_unc_keV,Q_n_alpha_calculable,Q_n_alpha_estimated,Q_n_alpha_keV,Q_n_alpha_unc_keV,Q_p_alpha_calculable,Q_p_alpha_estimated,Q_p_alpha_keV,Q_p_alpha_unc_keV,S_2n_calculable,S_2n_estimated,S_2n_keV,S_2n_unc_keV,S_2p_calculable,S_2p_estimated,S_2p_keV,S_2p_unc_keV,S_n_calculable,S_n_estimated,S_n_keV,S_n_unc_keV,S_p_calculable,S_p_estimated,S_p_keV,S_p_unc_keV,Symbol,Z,atomic_mass_estimated,atomic_mass_micro_u,atomic_mass_u,atomic_mass_unc_micro_u,beta_decay_energy_estimated,beta_decay_energy_keV,beta_decay_energy_unc_keV,beta_decay_mode,binding_energy_per_A_estimated,binding_energy_per_A_keV,binding_energy_per_A_unc_keV,decay_modes,discovery_year,half_life_estimated,half_life_raw,half_life_s,half_life_unc_raw,half_life_unit,mass_excess_estimated,mass_excess_keV,mass_excess_unc_keV,origin,source_dataset,source_file,spin_parity,spin_parity_measured,spin_parity_systematics
101,60,19,True,False,7453.1047,24.2876,True,False,8520.9401,6.9373,True,False,-5200.949,7.6842,True,False,-769.7773,3.7372,True,False,9435.9893,11.1481,True,False,-18859.2179,11.7904,True,False,-956.3381,8.7611,True,False,7254.3248,9.2395,True,False,12698.7802,12.5685,True,False,22825.6996,7.6031,True,False,7171.5602,8.813,True,False,9807.723,8.9647,Nb,41,False,915306.508,100.915306508,4.024,False,4628.4637,3.7378,B-,False,8534.8355,0.0371,B-=100,1970,False,7.1,7.1,0.3,s,False,-78891.488,3.749,x,AME2020,mass_1.mas20,5/2+*,True,False
101,59,17,True,False,4438.1611,0.2956,True,False,1912.1931,4.5973,True,False,-3008.1745,0.3311,True,False,-5570.3185,1.3721,True,False,9526.1993,12.0002,True,False,-14436.1867,8.1491,True,False,3408.2081,8.4505,True,False,4868.7158,5.0108,True,False,13692.4815,0.3817,True,False,20481.2235,10.5035,True,False,5398.2409,0.0681,True,False,11017.6769,7.982,Mo,42,False,910337.648,100.910337648,0.331,False,2824.6411,24.0018,B-,False,8572.9159,0.0031,B-=100,1941,False,14.61,876.5999999999999,0.03,m,False,-83519.952,0.308,-n,AME2020,mass_1.mas20,1/2+,False,False
101,58,15,True,False,1067.8354,24.7031,True,False,-5010.2085,24.4863,True,False,-3166.7118,24.3759,True,False,-5188.5195,24.0011,True,False,10336.3205,24.0046,True,False,-13842.3179,25.294,True,False,2826.4217,24.519,True,False,6635.4429,24.0042,True,False,15159.3595,24.0197,True,False,18587.1909,26.8344,True,False,8394.9596,24.0405,True,False,7440.535,24.0017,Tc,43,False,907305.271,100.907305271,25.768,False,1613.52,24.0,B-,False,8593.1366,0.2377,B-=100,1941,False,14.22,853.2,0.01,m,False,-86344.593,24.004,+,AME2020,mass_1.mas20,9/2+,False,False
101,57,13,True,False,-2525.9679,4.6043,True,False,-12121.647,1.5466,True,False,-2838.3281,0.4434,True,False,-10438.3007,18.1246,True,False,10080.5636,0.9734,True,False,-9054.055,0.2876,True,False,5804.2699,0.4468,True,False,3338.1564,3.4008,True,False,16475.3639,0.2362,True,False,16565.9486,0.4698,True,False,6802.0395,0.2348,True,False,9226.1326,1.3955,Ru,44,False,905573.086,100.905573086,0.443,False,-545.6846,5.8518,B-,False,8601.366,0.0041,IS=17.06 2,1931,False,stbl,inf,,,False,-87958.113,0.413,,AME2020,mass_1.mas20,5/2+*,True,False
101,56,11,True,False,-6078.0439,7.5843,True,False,-18867.5266,13.0428,True,False,-2612.9074,7.1447,True,False,-10271.0737,18.5779,True,False,10923.7639,5.8484,True,False,-8680.4479,5.9934,True,False,4666.188,6.7469,True,False,5676.4986,8.7107,True,False,17970.5425,20.3079,True,False,14662.5009,5.9094,True,False,9892.6161,19.0424,True,False,5474.0078,5.8483,Rh,45,False,906158.903,100.906158903,6.27,False,-1980.2833,3.9027,B-,False,8588.2172,0.0578,EC=100,1948,False,4.07,128439432.00000001,0.05,y,False,-87412.428,5.841,,AME2020,mass_1.mas20,1/2-,False,False
101,55,9,True,False,-9595.6791,4.8243,True,False,-25126.5203,300.0398,True,False,-1736.4963,5.3532,True,False,-15365.4934,6.7861,True,False,10863.184,19.9838,True,False,-3493.7245,4.5993,True,False,8439.1289,7.9256,True,False,2607.129,12.7599,True,False,19391.9194,6.8632,True,False,12384.702,4.5993,True,False,8290.7904,18.2233,True,False,7129.9857,18.6966,Pd,46,False,908284.824,100.908284824,4.925,False,-4097.7606,6.6679,B-,False,8560.8644,0.0454,B+=100,1948,False,8.47,30492.000000000004,0.06,h,False,-85432.145,4.588,,AME2020,mass_1.mas20,5/2+,False,False
101,54,7,True,False,-12789.4828,12.6258,False,False,,,True,False,-1161.7358,35.7916,True,False,-15211.1068,5.1205,True,False,11559.2843,7.0348,True,False,-3032.2252,18.7598,True,False,7487.2366,12.8519,True,False,4850.6565,6.7746,True,False,20764.5374,7.9158,True,False,10327.8046,20.0433,True,False,11267.7328,6.9575,True,False,3410.6828,18.2885,Ag,47,False,912683.951,100.912683951,5.193,False,-5497.9186,5.0625,B-,False,8512.5465,0.0479,B+=100,1966,False,11.1,666.0,0.3,m,False,-81334.384,4.838,x,AME2020,mass_1.mas20,9/2+*,True,False
101,53,5,True,False,-15530.8412,300.0084,False,False,,,True,False,-455.529,5.0679,True,False,-19729.6375,2.6868,True,False,11586.8243,6.44,True,False,2087.2357,17.6998,True,False,11130.922,4.9708,True,False,2094.0143,32.941,True,False,22047.9699,2.1746,True,False,8231.5463,5.32,True,False,9713.1882,2.2433,True,False,4987.4673,5.2172,Cd,48,False,918586.209,100.918586209,1.6,False,-7291.5642,11.7569,B-,False,8450.3657,0.0148,B+=100,1969,False,1.36,81.60000000000001,0.05,m,False,-75836.466,1.49,x,AME2020,mass_1.mas20,5/2+*,True,False
101,52,3,False,False,,,False,False,,,True,False,-65.7903,16.7449,True,False,-19468.0733,240.2936,True,False,12097.0375,11.769,True,False,2304.097,12.6886,True,False,10167.9255,34.9126,True,False,3955.5785,53.0932,True,True,23311.0,298.0,True,False,6410.3606,13.2384,True,False,12438.0733,11.8744,True,False,1639.277,11.7819,In,49,False,926414.025,100.926414025,12.519,False,-8239.277,300.2313,B-,False,8370.426,0.1155,B+=100;B+p<1.7,1988,False,15.1,15.1,1.1,s,False,-68544.901,11.662,x,AME2020,mass_1.mas20,(9/2+),False,False
101,51,1,False,False,,,False,False,,,True,False,-1996.5133,516.2821,False,False,,,True,True,11781.0,423.0,True,False,6599.9999,300.0,True,False,12977.2025,304.4433,True,True,-1535.0,427.0,True,True,28472.0,655.0,True,False,4952.4347,300.0089,True,False,11228.7963,384.1976,True,False,3416.4493,300.013,Sn,50,False,935259.252,100.935259252,322.068,False,,,B-,False,8281.103,2.9703,B+=100;B+p=21.0 7,1994,False,2.22,2.22,0.05,s,False,-60305.624,300.005,ep,AME2020,mass_1.mas20,(7/2+),False,False
102,65,28,True,False,23920.3292,83.0034,True,False,39045.9527,82.941,True,True,-11627.0,408.0,True,False,10001.2842,83.3355,True,True,7928.0,408.0,False,False,,,False,False,,,True,True,6012.0,408.0,True,False,7129.0641,83.9353,False,False,,,True,False,2756.2127,85.3982,True,True,15961.0,507.0,Rb,37,False,960008.0,101.960008,89.0,False,14906.9991,106.6347,B-,False,8152.7443,0.8128,B-=100;B-n=65 22;B-2n ?,1995,False,37,0.037,4,ms,False,-37252.312,82.903,x,AME2020,mass_1.mas20,(4+),False,False
102,64,26,True,False,19422.1157,67.6369,True,False,31401.5544,67.5799,True,True,-10464.0,307.0,True,False,4824.1573,67.4403,True,False,4817.3799,68.3396,True,True,-30868.0,505.0,True,True,-8113.0,405.0,True,False,3825.894,67.1886,True,False,8484.4428,67.4234,True,True,32267.0,405.0,True,False,4905.7149,67.6016,True,False,16880.8648,70.1286,Sr,38,False,944004.679,101.944004679,72.0,False,9013.3301,67.1916,B-,False,8291.2213,0.6575,B-=100;B-n=5.5 15,1986,False,69,0.069,6,ms,False,-52159.311,67.068,x,AME2020,mass_1.mas20,0+,False,False
102,63,24,True,False,15125.6235,4.7915,True,False,23400.28,10.0335,True,False,-9228.4047,16.5923,True,False,3917.0275,9.2779,True,False,9355.6703,8.0318,True,False,-25894.1949,20.8953,True,False,-4405.089,5.7361,True,False,6209.9407,6.2527,True,False,9994.0364,11.9003,True,False,29484.6993,13.7439,True,False,4189.1728,8.1724,True,False,13136.6979,9.4109,Y,39,False,934328.471,101.934328471,4.381,False,10408.7856,9.6618,B-,False,8371.9172,0.04,B-=100;B-n<2.6,1980,False,360,0.36,40,ms,False,-61172.641,4.081,x,AME2020,mass_1.mas20,(5-),False,False
102,62,22,True,False,11979.4387,12.0684,True,False,17525.0079,8.7675,True,False,-7583.9543,9.3327,True,False,-761.2571,9.5262,True,False,6450.6212,14.1995,True,False,-23545.4835,12.1904,True,False,-3416.4979,9.956,True,False,3926.3587,10.9736,True,False,11351.3271,11.9576,True,False,26341.8645,11.1594,True,False,6491.7581,12.087,True,False,13815.6114,11.2604,Zr,40,False,923154.181,101.923154181,9.401,False,4716.838,9.053,B-,False,8466.294,0.0859,B-=100,1970,False,2.01,2.01,0.08,s,False,-71581.427,8.758,,AME2020,mass_1.mas20,0+,False,False
102,61,20,True,False,8274.6565,9.5036,True,False,10485.0512,6.8837,True,False,-6434.4331,8.3052,True,False,-849.6313,2.5295,True,False,10785.2781,8.5201,True,False,-18532.4494,7.5103,True,False,-8.1322,7.073,True,False,6182.4606,10.794,True,False,12649.6552,8.3599,True,False,23554.9659,11.4557,True,False,5478.095,4.5117,True,False,10426.2491,8.7007,Nb,41,False,918090.447,101.918090447,2.695,False,7262.6008,8.675,B-,False,8504.8675,0.0246,B-=100,1972,False,4.3,4.3,0.4,s,False,-76298.265,2.511,,AME2020,mass_1.mas20,(4+),False,False
102,60,18,True,False,5545.5691,8.3139,True,False,4342.0974,8.314,True,False,-4704.024,11.8435,True,False,-5287.591,25.3992,True,False,6941.1872,11.5139,True,False,-17688.8498,11.7636,True,False,-297.7932,13.3862,True,False,3638.5334,14.5958,True,False,13510.473,8.3089,True,False,21766.0718,11.6306,True,False,8112.2321,8.3092,True,False,11958.3488,9.1105,Mo,42,False,910293.725,101.910293725,8.916,False,1012.0557,12.3682,B-,False,8568.3994,0.0814,B-=100,1954,False,11.3,678.0,0.2,m,False,-83560.866,8.305,,AME2020,mass_1.mas20,0+,False,False
102,59,16,True,False,2210.3947,11.1758,True,False,-2326.2198,12.2792,True,False,-3473.225,10.4417,True,False,-4686.1267,9.1646,True,False,12330.9144,9.1643,True,False,-12970.4045,9.893,True,False,3408.8247,15.0992,True,False,6261.24,9.1688,True,False,14694.6063,9.2634,True,False,19359.6177,12.1504,True,False,6299.6467,25.6903,True,False,8341.9408,9.1646,Tc,43,False,909207.239,101.909207239,9.84,False,4533.5134,9.1646,B-,False,8570.6514,0.0899,B-=100,1954,False,5.28,5.28,0.15,s,False,-84572.921,9.166,,AME2020,mass_1.mas20,1+,False,False
102,58,14,True,False,-1203.4717,0.0447,True,False,-9446.7332,1.7137,True,False,-3415.3703,0.4495,True,False,-9765.3248,5.852,True,False,7625.3234,1.3964,True,False,-12875.4542,0.2997,True,False,2510.0736,0.4724,True,False,3085.4897,0.9746,True,False,16021.6796,0.24,True,False,17491.3482,0.2918,True,False,9219.6402,0.05,True,False,10050.8132,24.0001,Ru,44,False,904340.312,101.904340312,0.446,False,-2323.1187,6.396,B-,False,8607.4275,0.0041,IS=31.55 14,1931,False,stbl,inf,,,False,-89106.435,0.416,,AME2020,mass_1.mas20,0+,False,False
102,57,12,True,False,-4536.6145,10.3849,True,False,-16088.4204,7.8736,True,False,-2776.0181,7.2441,True,False,-9422.4894,7.881,True,False,13154.8822,6.4005,True,False,-7727.6945,24.8377,True,False,6190.9554,6.4698,True,False,5706.124,6.4006,True,False,17334.8222,19.2202,True,False,15340.307,6.5467,True,False,7442.2061,8.6692,True,False,6114.1745,6.3962,Rh,45,False,906834.282,101.906834282,6.88,False,1119.647,6.3962,B-,False,8576.9818,0.0628,B+=78 5;B-=22 5,1941,False,207.0,17884800.0,1.5,d,False,-86783.316,6.41,-,AME2020,mass_1.mas20,2-*,True,False
102,56,10,True,False,-8243.2615,1.7143,True,False,-22968.0674,100.1054,True,False,-2103.0075,6.4759,True,False,-14639.8969,4.8562,True,False,8398.974,18.1248,True,False,-7233.8214,0.0671,True,False,5368.824,0.2455,True,False,2545.6139,19.4544,True,False,18832.9268,17.6365,True,False,13253.5139,0.2441,True,False,10542.1364,4.6048,True,False,7779.5061,5.8522,Pd,46,False,905632.292,101.905632292,0.449,False,-5656.2615,8.1816,B-,False,8580.2887,0.0041,IS=1.02 1;2B+ ?,1935,False,stbl,inf,>7.6Ey,,False,-87902.963,0.419,,AME2020,mass_1.mas20,0+,False,False
102,55,8,True,False,-11551.8059,9.3633,True,True,-31147.0,400.0,True,False,-1496.3989,14.4405,True,False,-14481.554,8.3057,True,False,13676.7778,19.4377,True,False,-2123.2446,10.0436,True,False,8984.2223,21.0971,True,False,4800.215,9.6354,True,False,20251.3683,9.5793,True,False,11233.5137,19.8818,True,False,8983.6355,9.4959,True,False,4103.5279,9.3708,Ag,47,False,911704.538,101.911704538,8.771,False,-2587.0,8.0,B-,False,8517.165,0.0801,B+=100,1960,False,12.9,774.0,0.3,m,False,-82246.702,8.171,+,AME2020,mass_1.mas20,5+*,True,False
102,54,6,True,False,-14724.8059,100.1183,False,False,,,True,False,-763.632,5.0251,True,False,-19186.1182,11.7799,True,False,9189.0749,5.269,True,False,-1516.5279,4.8798,True,False,8169.562,5.3703,True,False,1916.8365,6.482,True,False,21607.7423,2.3611,True,False,9024.9713,17.715,True,False,11894.554,2.2327,True,False,5614.2885,5.1158,Cd,48,False,914481.797,101.914481797,1.784,False,-8964.8059,4.8654,B-,False,8484.1322,0.0163,B+=100,1969,False,5.5,330.0,0.5,m,False,-79659.702,1.662,,AME2020,mass_1.mas20,0+,False,False
102,53,4,True,True,-19595.0,400.0,False,False,,,True,False,-53.3868,33.2235,True,False,-18460.5893,300.0395,True,False,14210.5068,4.8706,True,False,3350.5175,6.6573,True,False,11663.9894,7.7565,True,False,4100.2914,4.8393,True,False,22659.3856,5.0901,True,False,7134.8683,6.7757,True,False,10221.3123,12.5265,True,False,2147.4011,4.8096,In,49,False,924105.911,101.924105911,4.909,False,-5760.0,100.0,B-,False,8388.5719,0.0448,B+=100;B+p=0.0093 13,1981,False,23.3,23.3,0.1,s,False,-70694.896,4.573,,AME2020,mass_1.mas20,(6+),False,False
102,52,2,False,False,,,False,False,,,True,False,276.6132,112.7111,False,False,,,True,False,9954.0576,100.1295,True,False,3612.5989,100.1156,True,False,10642.6384,100.117,True,True,1305.0,314.0,True,False,23929.3856,260.0498,True,False,5318.2423,100.1185,True,False,12700.5893,316.2653,True,False,3678.9653,100.7815,Sn,50,False,930289.525,101.930289525,107.466,True,-13835.0,412.0,B-,False,8324.4313,0.9814,B+=100,1994,False,3.8,3.8,0.2,s,False,-64934.896,100.105,-,AME2020,mass_1.mas20,0+,False,False
102,51,0,False,False,,,False,False,,,True,True,382.0,502.0,False,False,,,True,True,16759.0,466.0,True,True,10156.0,400.0,True,True,15923.0,499.0,True,True,1740.0,706.0,False,False,,,True,True,1500.0,400.0,False,False,,,True,True,-1917.0,500.0,Sb,51,True,945142.0,101.945142,429.0,False,,,B-,True,8181.0,4.0,p ?,,False,,,,,True,-51100.0,400.0,x,AME2020,mass_1.mas20,,False,False
103,66,29,True,True,25297.0,400.0,True,True,41868.0,400.0,False,False,,,True,True,10928.0,405.0,True,True,6131.0,640.0,False,False,,,False,False,,,True,True,6174.0,565.0,True,True,6735.0,400.0,False,False,,,True,True,3979.0,408.0,False,False,,,Rb,37,True,964401.0,102.964401,429.0,True,14120.0,447.0,B-,True,8112.0,4.0,B-=100;B-n ?;B-2n ?,2010,False,26,0.026000000000000002,11,ms,True,-33160.0,400.0,x,AME2020,mass_1.mas20,3/2+#,False,True
103,65,27,True,True,20529.0,200.0,True,True,33674.0,200.0,True,True,-11305.0,447.0,True,True,5821.0,200.0,True,True,5998.0,201.0,False,False,,,True,True,-7164.0,447.0,True,True,3850.0,201.0,True,True,8098.0,200.0,True,True,33278.0,539.0,True,True,3192.0,211.0,True,True,17317.0,217.0,Sr,38,True,949243.0,102.949243,215.0,True,11177.0,201.0,B-,True,8242.0,2.0,B-=100;B-n ?;B-2n ?,1997,False,53,0.053,10,ms,True,-47280.0,200.0,x,AME2020,mass_1.mas20,5/2+#,False,True
103,64,25,True,False,16571.634,11.8765,True,False,26146.8867,14.8933,True,False,-9760.7993,11.9087,True,False,5053.0753,14.222,True,False,7578.6879,14.0528,True,False,-28493.6925,83.6569,True,False,-6544.7472,17.2571,True,False,6224.5262,13.169,True,False,9544.8831,13.2553,True,False,30467.5582,23.3565,True,False,5355.7103,11.8739,True,False,13586.6934,67.9973,Y,39,False,937243.796,102.937243796,12.029,False,9351.96,14.513,B-,False,8342.6336,0.1088,B-=100;B-n=8.0 17,1994,False,239,0.23900000000000002,12,ms,False,-58457.034,11.206,x,AME2020,mass_1.mas20,5/2+#,False,True
103,63,23,True,False,13145.3379,13.0416,True,False,19458.1741,9.2332,True,False,-7715.3826,10.3675,True,False,417.9533,9.5566,True,False,7956.6001,11.6258,True,False,-22938.6533,67.6987,True,False,-2345.0867,11.528,True,False,4376.3028,14.4909,True,False,10790.6428,12.4281,True,False,27062.0212,12.5287,True,False,4298.8847,12.7169,True,False,13925.3233,10.0853,Zr,40,False,927204.054,102.927204054,9.9,False,7219.674,10.027,B-,False,8425.8337,0.0895,B-=100;B-n<1,1987,False,1.38,1.38,0.07,s,False,-67808.993,9.223,x,AME2020,mass_1.mas20,(5/2-),False,False
103,62,21,True,False,9575.2528,10.5603,True,False,13003.038,4.5204,True,False,-6809.8529,7.6966,True,False,460.8801,9.1886,True,False,8843.1264,9.2145,True,False,-21144.9973,5.669,True,False,-2061.0242,11.8509,True,False,6208.1236,9.0441,True,False,12279.8157,5.4027,True,False,24551.8231,8.1003,True,False,6801.7207,4.6675,True,False,10736.2117,9.6009,Nb,41,False,919453.416,102.919453416,4.224,False,5925.6639,10.027,B-,False,8488.332,0.0382,B-=100;B-n ?,1971,False,1.34,1.34,0.07,s,False,-75028.667,3.935,x,AME2020,mass_1.mas20,5/2+*,True,False
103,61,19,True,False,6312.8362,9.2332,True,False,6502.6488,9.2644,True,False,-5762.5771,13.9738,True,False,-4452.7281,13.0028,True,False,8647.9635,9.9554,True,False,-16661.8756,12.7169,True,False,1064.8067,12.3023,True,False,3700.9695,12.1919,True,False,13577.0159,9.2278,True,False,22371.2867,12.4281,True,False,5464.7839,12.41,True,False,11945.0376,9.5566,Mo,42,False,913091.954,102.913091954,9.9,False,3649.5889,13.4648,B-,False,8538.2672,0.0895,B-=100,1963,False,67.5,67.5,1.5,s,False,-80954.331,9.223,x,AME2020,mass_1.mas20,3/2+,False,False
103,60,17,True,False,3427.7852,10.0654,True,False,198.7821,10.632,True,False,-4693.4923,15.4992,True,False,-3568.8036,9.8088,True,False,9626.8384,9.8097,True,False,-15594.6265,10.1264,True,False,833.7277,12.6435,True,False,6453.1636,9.8095,True,False,14401.9637,25.9271,True,False,20290.3745,10.4925,True,False,8102.317,13.048,True,False,8332.0257,12.8531,Tc,43,False,909173.96,102.90917396,10.531,False,2663.2474,9.8086,B-,False,8566.1045,0.0952,B-=100,1957,False,54.2,54.2,0.8,s,False,-84603.92,9.81,+p,AME2020,mass_1.mas20,5/2+,False,False
103,59,15,True,False,189.8126,0.787,True,False,-6615.5413,1.8635,True,False,-3721.9773,0.4947,True,False,-8555.1696,6.3977,True,False,9788.2321,24.0005,True,False,-10995.2731,8.3152,True,False,4572.2633,0.3269,True,False,3617.8387,1.4041,True,False,15451.6911,0.156,True,False,18325.1582,0.3339,True,False,6232.0509,0.1478,True,False,9983.2173,9.1647,Ru,44,False,906314.846,102.906314846,0.473,False,764.5378,2.2598,B-,False,8584.3656,0.0043,B-=100,1945,False,39.245,3390768.0,0.008,d,False,-87267.168,0.441,,AME2020,mass_1.mas20,3/2+,False,False
103,58,13,True,False,-3229.0031,4.7004,True,False,-13399.3084,9.2706,True,False,-3128.7521,2.4642,True,False,-8200.0605,2.2649,True,False,10637.2142,2.265,True,False,-10747.7552,9.439,True,False,3635.6479,2.6594,True,False,6059.741,2.2767,True,False,16761.9136,6.1774,True,False,16265.0549,24.1066,True,False,9319.7075,6.785,True,False,6214.2417,2.2644,Rh,45,False,905494.081,102.905494081,2.47,False,-574.7252,2.3928,B-,False,8584.1927,0.0223,IS=100,1934,False,stbl,inf,,,False,-88031.705,2.301,,AME2020,mass_1.mas20,1/2-*,True,False
103,57,11,True,False,-6805.3539,2.0121,True,True,-20365.0,100.0,True,False,-2256.5112,0.8098,True,False,-13281.5967,8.2179,True,False,10666.2548,5.9028,True,False,-5639.5165,0.773,True,False,7416.8132,0.8094,True,False,2998.205,18.1412,True,False,18167.4716,4.669,True,False,14076.8097,0.7747,True,False,7625.3353,0.7717,True,False,7962.6352,6.4426,Pd,46,False,906111.074,102.906111074,0.942,False,-2654.2778,4.1916,B-,False,8571.0173,0.0085,EC=100,1950,False,16.991,1468022.4,0.019,d,False,-87456.98,0.878,-n,AME2020,mass_1.mas20,5/2+,False,False
103,56,9,True,False,-10170.3053,9.8715,True,True,-28132.0,300.0,True,False,-1643.0966,19.8777,True,False,-13214.3189,4.4229,True,False,11340.2493,6.1523,True,False,-5308.3574,7.6079,True,False,6434.8298,18.5828,True,False,5274.0252,18.1069,True,False,19610.9544,6.3408,True,False,11968.2165,7.1352,True,False,10627.3189,9.1412,True,False,4188.7104,4.1199,Ag,47,False,908960.558,102.908960558,4.4,False,-4151.0761,4.4806,B-,False,8537.652,0.0398,B+=100,1954,False,65.7,3942.0,0.7,m,False,-84802.702,4.099,x,AME2020,mass_1.mas20,7/2+*,True,False
103,55,7,True,True,-13559.0,100.0,False,False,,,True,False,-893.6808,5.4179,True,False,-18028.0487,4.9179,True,False,11393.5649,5.1658,True,False,-37.6343,1.8582,True,False,10207.4482,17.7295,True,False,2350.3983,5.3175,True,False,20957.7968,2.345,True,False,9797.4237,4.9322,True,False,9063.2428,2.4578,True,False,5693.8958,8.369,Cd,48,False,913416.922,102.913416922,1.943,False,-6019.2293,9.1242,B-,False,8489.7547,0.0176,B+=100,1960,False,7.3,438.0,0.1,m,False,-80651.626,1.811,,AME2020,mass_1.mas20,5/2+*,True,False
103,54,5,True,True,-17962.0,300.0,False,False,,,True,False,-344.83,10.9499,True,False,-17768.8195,100.5065,True,False,11914.8756,9.1033,True,False,325.3334,12.1413,True,False,9151.9746,10.2784,True,False,4426.2536,9.1356,True,False,22230.1318,14.7191,True,False,7875.955,10.2008,True,False,12008.8195,10.0776,True,False,2261.6666,9.133,In,49,False,919878.83,102.91987883,9.64,True,-7540.0,100.0,B-,False,8423.7199,0.0872,B+=100,1978,False,60,60.0,1,s,False,-74632.397,8.98,,AME2020,mass_1.mas20,(9/2+),False,False
103,53,3,False,False,,,False,False,,,True,True,414.0,100.0,True,True,-24064.0,412.0,True,True,12163.0,101.0,True,True,5278.0,100.0,True,True,12749.0,100.0,True,True,1950.0,100.0,True,True,22929.0,316.0,True,True,5834.0,100.0,True,True,10229.0,142.0,True,True,3686.0,101.0,Sn,50,True,927973.0,102.927973,108.0,True,-10422.0,316.0,B-,True,8343.0,1.0,B+=100;B+p=1.2 1,1981,False,7.0,7.0,0.2,s,True,-67092.0,100.0,-,AME2020,mass_1.mas20,5/2+#,False,True
103,52,1,False,False,,,False,False,,,True,True,2281.0,423.0,False,False,,,True,True,14346.0,424.0,True,True,6736.0,300.0,True,True,13154.0,300.0,True,True,5342.0,384.0,False,False,,,True,True,2703.0,300.0,True,True,13642.0,500.0,True,True,-976.0,316.0,Sb,51,True,939162.0,102.939162,322.0,False,,,B-,True,8234.0,3.0,p ?,2010,False,,,<49ns,,True,-56670.0,300.0,x,AME2020,mass_1.mas20,5/2+#,False,True
104,67,30,True,True,26630.0,539.0,True,True,44361.0,500.0,False,False,,,True,True,11758.0,539.0,False,False,,,False,False,,,False,False,,,True,True,5994.0,707.0,True,True,6341.0,507.0,False,False,,,True,True,2361.0,640.0,False,False,,,Rb,37,True,970531.0,103.970531,537.0,True,16310.0,583.0,B-,True,8057.0,5.0,B- ?;B-n ?;B-2n ?,2018,True,35#,0.035,>550ns,ms,True,-27450.0,500.0,x,AME2020,mass_1.mas20,,False,False
104,66,28,True,True,21958.0,300.0,True,True,36584.0,300.0,True,True,-11715.0,500.0,True,True,6626.0,300.0,True,True,4203.0,311.0,False,False,,,True,True,-9533.0,583.0,True,True,3672.0,301.0,True,True,7743.0,307.0,False,False,,,True,True,4551.0,361.0,True,True,17888.0,500.0,Sr,38,True,953022.0,103.953022,322.0,True,10320.0,361.0,B-,True,8206.0,3.0,B-=100;B-n ?;B-2n ?,1997,False,50.6,0.0506,4.2,ms,True,-43760.0,300.0,x,AME2020,mass_1.mas20,0+,False,False
104,65,26,True,True,17731.0,200.0,True,True,28419.0,202.0,True,True,-10239.0,201.0,True,True,5658.0,200.0,True,True,8790.0,211.0,True,True,-28208.0,447.0,True,True,-5866.0,201.0,True,True,6109.0,200.0,True,True,9050.0,200.0,True,True,31405.0,217.0,True,True,3694.0,201.0,True,True,14089.0,283.0,Y,39,True,941943.0,103.941943,215.0,True,11638.0,200.0,B-,True,8298.0,2.0,B-=100;B-n=34 10;B-2n ?,1994,False,197,0.197,4,ms,True,-54080.0,200.0,x,AME2020,mass_1.mas20,"(0+,1+)#",False,True
104,64,24,True,False,14626.0878,12.8903,True,False,22378.1036,9.645,True,False,-8325.0712,11.6026,True,False,1239.6896,10.1127,True,False,6165.7885,10.1705,True,True,-25727.0,200.0,True,False,-4746.3433,12.5974,True,False,4201.1819,11.6998,True,False,10278.8691,12.7847,True,False,28136.2908,67.7115,True,False,5979.9844,13.1076,True,False,14549.5974,14.5724,Zr,40,False,929449.193,103.929449193,10.0,False,6093.3367,9.4851,B-,False,8402.3159,0.0896,B-=100;B-n<1,1990,False,920,0.92,28,ms,False,-65717.66,9.316,x,AME2020,mass_1.mas20,0+,False,False
104,63,22,True,False,10687.9724,24.9503,True,False,15148.3474,2.9127,True,False,-6914.6714,11.3201,True,False,1072.0168,9.3937,True,False,10481.2374,8.9375,True,False,-20642.9341,11.3469,True,False,-1109.8078,7.3018,True,False,6214.0455,8.521,True,False,11655.3678,3.08,True,False,25216.2974,4.454,True,False,4853.6471,4.3202,True,False,11290.9741,9.3937,Nb,41,False,922907.728,103.922907728,1.915,False,8532.7512,9.0879,B-,False,8453.3832,0.0172,B-=100;B-n=0.05 3,1976,False,0.98,0.98,0.05,s,False,-71810.997,1.784,x,AME2020,mass_1.mas20,(5-),False,False
